aid,past_paperCount,first_year,first_genre,past_logCit,post_logCit,post_paperCount,post_career,whole_count,past_es,past_es_dis
3599,50,1991,[74],1.7634987870696912,2.016385801717752,102,13,152,0.42857142857142855,0.5870600262532499
3604,16,1997,"[74, 75, 74]",2.792380913515675,1.949318338933521,11,7,27,0.4,0.4582990021006869
3605,17,1998,"[75, 74, 75]",1.5979001593192712,1.9624137511915367,33,7,50,0.3125,0.358544061266861
3610,7,1988,"[74, 76]",0.8530374056843516,1.3695561017737843,20,15,27,0.5,0.5991248700546845
3629,6,1984,"[71, 71, 78]",1.383669634958534,1.2301012425845492,49,19,55,0.4,0.6400933414777654
3630,21,1997,"[75, 75, 75, 75]",1.4745074894856773,1.196548761223888,24,8,45,0.4,0.6095531662607605
3633,9,2001,"[73, 71, 78, 71]",1.3769387191835745,1.887083160464487,10,3,19,0.25,0.5893857234610749
3634,5,1986,"[71, 78]",1.3831446897262627,2.4463158064541615,59,19,64,0.5,0.6028972382290858
3635,14,1993,"[73, 71, 73, 78]",2.359934383692445,2.4078883855419386,45,10,59,0.23076923076923078,0.4217422223459411
3636,18,2001,"[73, 71, 78, 71]",2.4731367687281236,2.9080078481724803,16,3,34,0.23529411764705882,0.45854699866764365
3637,18,2000,"[75, 75, 75, 61]",2.239717583825195,2.321311674565736,12,5,30,0.5294117647058824,0.581346327123801
3639,9,1999,"[42, 71, 71, 78]",2.3777847643893697,1.685666260826412,8,5,17,0.125,0.5022685274715069
3656,7,1990,"[13, 25]",2.050346413213234,1.797478562419811,24,14,31,0.6666666666666666,0.5881656400424814
3680,4,1980,"[41, 6]",1.5556440670178422,1.572231271997262,26,22,30,1.0,0.8206309041981147
3685,12,1986,"[61, 71, 73]",1.3639439927529085,1.2761997210553198,37,19,49,0.2727272727272727,0.45519609690289026
3694,16,2000,[71],1.213868792913239,0.9241962407465939,3,1,19,0.2,0.5407103519184256
3695,23,2000,"[78, 61, 61]",1.550606485318602,0.4969813299576001,5,4,28,0.5,0.6310070939379312
3703,6,1996,"[5, 3]",2.037743889196318,3.2960226248768536,11,6,17,0.6,0.7207337404684014
3713,8,2000,"[75, 71, 75]",2.643825252484093,1.354025100551105,2,2,10,0.42857142857142855,0.6208810326588452
3717,14,1996,"[71, 72, 72, 72]",1.8600738115780426,2.3134233135467155,55,8,69,0.6923076923076923,0.7775791687409312
3718,8,2002,"[3, 67, 67, 74]",2.4061664276575687,2.2986708109671006,7,1,15,0.7142857142857143,0.582060220174089
3722,12,1989,"[47, 68, 68]",2.0410251019244163,1.1597239775400825,27,15,39,0.5454545454545454,0.739303508913541
3726,27,2000,"[5, 5, 64]",1.284318241096781,1.5446278752835139,31,5,58,0.46153846153846156,0.7158122619005008
3741,26,2002,"[71, 73, 73, 71]",1.6634000393774144,1.5928733725073172,8,2,34,0.4,0.6174424219396136
3745,12,1995,"[74, 85, 72, 72]",1.9619935147222785,1.7962554796962327,40,9,52,0.09090909090909091,0.4680453133816073
3747,2,1993,"[85, 41]",1.0397207708399179,1.3764638227590518,10,7,12,1.0,0.8450149370222844
3750,6,1997,"[75, 71, 72, 75]",1.1898111666575872,0.8911845884529114,6,4,12,0.6,0.5031719021368619
3755,3,1995,"[75, 75, 75, 78]",1.7079879931344195,1.7770365897710072,8,7,11,0.5,0.5287200704697465
3758,5,1985,"[21, 21, 25]",2.1544744324026026,1.7177481835793358,12,19,17,0.5,0.6176308829611004
3772,13,1998,[79],1.5872185892759183,1.1759417157005447,11,5,24,0.6666666666666666,0.5810484817791158
3776,20,2000,"[78, 36, 68, 78]",1.7101343084897405,1.3202240784918295,14,3,34,0.631578947368421,0.7031884467595859
3780,39,1998,"[61, 61, 64, 81]",1.0175652205613974,1.44641953731549,21,7,60,0.47368421052631576,0.7073374198276545
3805,15,1989,"[73, 73, 79]",2.2507668652723045,1.8110682320774445,41,16,56,0.21428571428571427,0.4673304884211854
3807,11,1995,"[63, 31, 31, 36]",1.9178688811012095,0.7817515500358625,13,9,24,0.5,0.6243566745368678
3820,12,1996,[33],1.122165593647347,1.8896133443858263,9,8,21,0.5454545454545454,0.7256283286478499
3841,39,2005,"[75, 75, 75]",2.3989557454403174,2.221469673450136,3,0,42,0.4473684210526316,0.611946994419206
3844,17,1990,"[72, 73, 73, 73]",2.316126398892564,0.9004256901353869,8,15,25,0.3125,0.40091213869864567
3883,6,1992,"[71, 71, 72, 73]",1.9154537929421183,1.5404511096793636,11,13,17,0.4,0.6597616823540229
3884,2,1998,[68],0.6931471805599453,1.9909791013564755,12,6,14,1.0,0.66594248931762
3895,6,1989,"[62, 77, 77]",1.0789817827253791,1.5770836043483814,47,13,53,0.6,0.8950138699828551
3924,14,1986,"[64, 71, 73]",0.8614207239537208,1.3462909856715954,108,19,122,0.46153846153846156,0.6971903100636742
3925,14,1994,"[76, 76, 61, 61]",1.3632746449911306,1.9098457450275368,8,7,22,0.3076923076923077,0.6077340975029626
3931,16,2002,"[62, 62, 64]",1.2081115873565011,1.64221649197256,14,3,30,0.26666666666666666,0.44181235039593364
3932,12,1990,"[75, 75, 76]",1.7304696194427436,1.6134817809640662,70,15,82,0.36363636363636365,0.4359931393999363
3939,4,1995,"[13, 14, 25]",0.9222198635284842,1.5951710433462718,10,9,14,0.6666666666666666,0.7710124144265492
3953,2,1990,"[73, 71]",0.34657359027997264,1.1346426092303867,29,10,31,1.0,0.9721859447089
3974,9,1999,"[71, 71, 78]",1.7554826528254404,2.934244565147848,33,6,42,0.5,0.5990298006089394
3979,40,1999,"[75, 72, 73]",1.7002209774000268,1.7719852582725308,20,5,60,0.5384615384615384,0.6969143841552818
3987,9,1988,[68],1.8619472832235866,1.375871160892088,5,11,14,0.375,0.5552222103130862
3997,13,2001,"[77, 77, 64]",1.1048057867958567,1.5283079168972387,8,3,21,0.25,0.72661526604347
3999,7,1999,"[71, 71]",2.2379610852519853,2.225450550501001,12,5,19,0.8333333333333334,0.6700383589368624
4006,5,1985,[71],0.9128696382935673,2.0476824269698617,8,14,13,0.75,0.7726506682748263
4008,15,1991,"[78, 42, 42, 71]",2.4208617511122568,1.7514915707933174,41,14,56,0.21428571428571427,0.48612828284273313
4018,16,2003,"[71, 61, 61, 78]",1.3913375071333898,0.6931471805599453,1,0,17,0.4,0.6805731837795693
4020,12,2002,"[77, 61, 64, 68]",1.8706316697111474,0.0,1,0,13,0.36363636363636365,0.7254701719340635
4022,12,1993,"[74, 7, 61]",1.7925912099778618,1.3585545585577055,12,7,24,0.6363636363636364,0.7330406341372272
4024,9,2000,"[61, 36, 83]",1.3499446993379756,1.8636799873410004,4,2,13,0.75,0.85315584153977
4034,23,1995,"[82, 73, 68]",2.386768084316917,1.5243944756224221,41,10,64,0.2727272727272727,0.5770852492792728
4042,24,2004,"[68, 61, 66, 31]",1.5919548272723774,1.0986122886681098,1,0,25,0.4782608695652174,0.6761243263103968
4046,24,2003,"[71, 71, 71, 75]",2.047737447693285,1.1968729356955117,4,2,28,0.34782608695652173,0.3835853323162596
4051,13,1995,"[5, 64, 68, 5]",1.7621107089775179,2.177438284884287,28,9,41,0.08333333333333333,0.5987831058683712
4064,10,1996,"[11, 14]",1.2149502294041779,1.725514730054149,24,9,34,0.6666666666666666,0.8087616493954785
4065,9,2004,"[3, 32, 42]",1.525614185295361,1.0986122886681098,1,0,10,0.75,0.8227807084065202
4083,12,1997,"[25, 25]",1.5396361896242938,1.5823740395244639,9,7,21,0.36363636363636365,0.35246457027606004
4093,14,2001,"[75, 71, 61]",1.935506711338154,2.0025879131187088,8,3,22,0.46153846153846156,0.7485098983419713
4101,7,1999,"[61, 64, 81, 81]",1.4228922694792483,0.7377758908227873,5,3,12,0.5,0.7378829603135841
4102,12,1992,"[47, 47, 47, 47]",1.9260463616772514,2.150173041417625,14,12,26,0.45454545454545453,0.6693443889451582
4103,7,1996,"[5, 47, 5, 82]",2.8861984825228575,1.606305630048823,11,4,18,0.8333333333333334,0.7384035837453803
4130,5,1990,"[36, 31]",1.1772208062900311,1.7783081204078766,27,14,32,0.75,0.7492005760932952
4137,3,1993,"[82, 5, 87]",0.5972531564093516,1.8248080861592533,7,6,10,1.0,0.6918895558181598
4143,20,2002,"[75, 61]",1.5983478349474667,1.3134162085058063,14,3,34,0.631578947368421,0.5705658852993016
4148,10,1999,"[75, 75, 61, 61]",1.3485405209625265,1.4825064931585579,7,3,17,0.5555555555555556,0.4898185858572719
4149,5,1994,"[74, 72, 74]",1.5484804043631564,0.8186342858193746,9,8,14,0.25,0.5695470923561565
